VAR, SMD, True, fpr, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, SMD, True, auc, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, SMD, True, f1b, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
FRO, SMD, True, fpr, 0.9885, 0.9886, 0.9886, 0.9886, 0.9889, 0.9887, 0.9887, 0.9890, 0.9885, 0.9889, 0.9888, 0.9887, 0.9885, 0.9890, 0.9887, 0.9888, 0.9890, 0.9888, 0.9885, 0.9881, 0.9889, 0.9883, 0.9888, 0.9888, 0.9887, 0.9887, 0.9886, 0.9890, 0.9889, 0.9888, 0.9888, 0.9888
FRO, SMD, True, auc, 0.7953, 0.7982, 0.7936, 0.7977, 0.7951, 0.7965, 0.7983, 0.7966, 0.7972, 0.7975, 0.7994, 0.7991, 0.7947, 0.7936, 0.7970, 0.7981, 0.7994, 0.7958, 0.7917, 0.7953, 0.8025, 0.7962, 0.7956, 0.7964, 0.7970, 0.7939, 0.7987, 0.7920, 0.8005, 0.7927, 0.7928, 0.7976
FRO, SMD, True, f1b, 0.9224, 0.9210, 0.9224, 0.9210, 0.9238, 0.9168, 0.9210, 0.9238, 0.9238, 0.9238, 0.9266, 0.9252, 0.9210, 0.9196, 0.9238, 0.9224, 0.9224, 0.9210, 0.9224, 0.9210, 0.9196, 0.9210, 0.9210, 0.9182, 0.9182, 0.9196, 0.9210, 0.9196, 0.9210, 0.9252, 0.9210, 0.9182
FRL, SMD, True, fpr, 0.9891, 0.9891, 0.9891, 0.9891, 0.9891, 0.9891, 0.9891, 0.9891, 0.9891, 0.9891, 0.9891, 0.9891, 0.9891, 0.9891, 0.9891, 0.9891, 0.9891, 0.9891, 0.9891, 0.9891, 0.9891, 0.9890, 0.9891, 0.9891, 0.9891, 0.9891, 0.9891, 0.9891, 0.9891, 0.9891, 0.9891, 0.9891
FRL, SMD, True, auc, 0.8070, 0.8069, 0.8069, 0.8070, 0.8070, 0.8069, 0.8071, 0.8068, 0.8068, 0.8068, 0.8069, 0.8068, 0.8069, 0.8070, 0.8069, 0.8071, 0.8070, 0.8072, 0.8070, 0.8071, 0.8071, 0.8072, 0.8071, 0.8070, 0.8067, 0.8070, 0.8072, 0.8070, 0.8069, 0.8070, 0.8069, 0.8067
FRL, SMD, True, f1b, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117, 0.9117
FRR, SMD, True, fpr, 0.9890, 0.9890, 0.9890, 0.9890, 0.9890, 0.9890, 0.9890, 0.9890, 0.9890, 0.9890, 0.9890, 0.9890, 0.9890, 0.9890, 0.9890, 0.9890, 0.9890, 0.9890, 0.9890, 0.9890, 0.9890, 0.9890, 0.9890, 0.9890, 0.9890, 0.9890, 0.9890, 0.9890, 0.9890, 0.9890, 0.9890, 0.9890
FRR, SMD, True, auc, 0.8386, 0.8376, 0.8386, 0.8394, 0.8396, 0.8390, 0.8399, 0.8401, 0.8403, 0.8383, 0.8388, 0.8406, 0.8376, 0.8385, 0.8392, 0.8391, 0.8399, 0.8398, 0.8400, 0.8389, 0.8382, 0.8395, 0.8394, 0.8380, 0.8398, 0.8395, 0.8387, 0.8393, 0.8382, 0.8391, 0.8389, 0.8381
FRR, SMD, True, f1b, 0.9280, 0.9280, 0.9280, 0.9280, 0.9294, 0.9294, 0.9294, 0.9280, 0.9294, 0.9294, 0.9294, 0.9294, 0.9294, 0.9294, 0.9280, 0.9294, 0.9294, 0.9294, 0.9294, 0.9280, 0.9294, 0.9294, 0.9294, 0.9294, 0.9280, 0.9294, 0.9294, 0.9294, 0.9309, 0.9294, 0.9294, 0.9280
