VAR, MSL, True, fpr, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
DBSCAN, MSL, True, auc, 0.5800, 0.5800, 0.5800, 0.5800, 0.5800, 0.5800, 0.5800, 0.5800, 0.5800, 0.5800, 0.5800, 0.5800, 0.5800, 0.5800, 0.5800, 0.5800, 0.5800, 0.5800, 0.5800, 0.5800, 0.5800, 0.5800, 0.5800, 0.5800, 0.5800, 0.5800, 0.5800, 0.5800, 0.5800, 0.5800, 0.5800, 0.5800
DBSCAN, MSL, True, f1b, 0.7692, 0.7692, 0.7692, 0.7692, 0.7692, 0.7692, 0.7692, 0.7692, 0.7692, 0.7692, 0.7692, 0.7692, 0.7692, 0.7692, 0.7692, 0.7692, 0.7692, 0.7692, 0.7692, 0.7692, 0.7692, 0.7692, 0.7692, 0.7692, 0.7692, 0.7692, 0.7692, 0.7692, 0.7692, 0.7692, 0.7692, 0.7692
GMM, MSL, True, fpr, 0.9942, 0.9942, 0.9921, 0.9921, 0.9921, 0.9914, 0.9940, 0.9940, 0.9921, 0.9940, 0.9944, 0.9942, 0.9940, 0.9940, 0.9940, 0.9940, 0.9914, 0.9921, 0.9940, 0.9937, 0.9940, 0.9940, 0.9940, 0.9921, 0.9940, 0.9940, 0.9940, 0.9940, 0.9916, 0.9940, 0.9945, 0.9921
GMM, MSL, True, auc, 0.7355, 0.7355, 0.8043, 0.8043, 0.8043, 0.8018, 0.6329, 0.6329, 0.8043, 0.6329, 0.7418, 0.7355, 0.6329, 0.6126, 0.6329, 0.6329, 0.8018, 0.8043, 0.6329, 0.6244, 0.6329, 0.6329, 0.6329, 0.8043, 0.6329, 0.6329, 0.6329, 0.6329, 0.7980, 0.6329, 0.7367, 0.8043
GMM, MSL, True, f1b, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
IF, MSL, True, fpr, 0.9938, 1.0000, 0.9940, 1.0000, 0.9931, 0.9924, 0.9938, 0.9940, 1.0000, 0.9940, 0.9940, 1.0000, 0.9940, 0.9938, 0.9938, 0.9940, 0.9931, 0.9940, 0.9938, 1.0000, 1.0000, 0.9940, 0.9940, 0.9939, 0.9940, 0.9929, 0.9940, 1.0000, 0.9938, 1.0000, 0.9939, 0.9940
IF, MSL, True, auc, 0.6475, 0.6345, 0.7166, 0.6353, 0.6909, 0.7177, 0.6831, 0.6585, 0.5956, 0.6823, 0.6696, 0.6061, 0.6581, 0.6441, 0.6496, 0.6743, 0.6652, 0.6520, 0.6651, 0.6437, 0.6187, 0.6516, 0.6780, 0.7060, 0.6746, 0.6588, 0.6652, 0.6292, 0.6424, 0.6191, 0.6478, 0.6790
IF, MSL, True, f1b, 1.0000, 0.5882, 1.0000, 0.5882, 0.4545, 1.0000, 1.0000, 0.3448, 0.4545, 1.0000, 1.0000, 1.0000, 1.0000, 0.3448, 1.0000, 1.0000, 0.3448, 1.0000, 0.3448, 1.0000, 0.5882, 1.0000, 1.0000, 1.0000, 1.0000, 0.5882, 0.5882, 0.2941, 1.0000, 0.4545, 1.0000, 1.0000
LSTM, MSL, True, fpr, 0.9936, 0.9937, 0.9937, 0.9938, 0.9935, 0.9932, 0.9935, 0.9939, 0.9934, 0.9939, 0.9939, 0.9940, 0.9940, 0.9941, 0.9939, 0.9937, 0.9941, 0.9934, 0.9940, 0.9934, 0.9942, 0.9936, 0.9938, 0.9941, 0.9936, 0.9932, 0.9936, 0.9934, 0.9940, 0.9934, 0.9937, 0.9939
LSTM, MSL, True, auc, 0.7216, 0.7477, 0.7569, 0.7392, 0.7420, 0.7423, 0.7216, 0.7542, 0.7262, 0.7517, 0.7172, 0.7648, 0.7559, 0.7316, 0.7231, 0.7375, 0.7459, 0.7231, 0.7430, 0.7685, 0.7374, 0.7697, 0.7197, 0.7272, 0.7493, 0.7232, 0.7354, 0.7416, 0.7419, 0.7360, 0.7195, 0.7278
