VAR, MSL, True, fpr, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
DBSCAN, MSL, True, auc, 0.7582, 0.7582, 0.7582, 0.7582, 0.7582, 0.7582, 0.7582, 0.7582, 0.7582, 0.7582, 0.7582, 0.7582, 0.7582, 0.7582, 0.7582, 0.7582, 0.7582, 0.7582, 0.7582, 0.7582, 0.7582, 0.7582, 0.7582, 0.7582, 0.7582, 0.7582, 0.7582, 0.7582, 0.7582, 0.7582, 0.7582, 0.7582
DBSCAN, MSL, True, f1b, 0.9615, 0.9615, 0.9615, 0.9615, 0.9615, 0.9615, 0.9615, 0.9615, 0.9615, 0.9615, 0.9615, 0.9615, 0.9615, 0.9615, 0.9615, 0.9615, 0.9615, 0.9615, 0.9615, 0.9615, 0.9615, 0.9615, 0.9615, 0.9615, 0.9615, 0.9615, 0.9615, 0.9615, 0.9615, 0.9615, 0.9615, 0.9615
GMM, MSL, True, fpr, 0.9486, 0.9529, 0.9486, 0.9500, 0.9486, 0.9500, 0.9486, 0.9486, 0.9529, 0.9486, 0.9486, 0.9529, 0.9486, 0.9486, 0.9518, 0.9486, 0.9529, 0.9508, 0.9486, 0.9519, 0.9500, 0.9500, 0.9486, 0.9519, 0.9519, 0.9486, 0.9486, 0.9529, 0.9486, 0.9529, 0.9486, 0.9500
GMM, MSL, True, auc, 0.3560, 0.5074, 0.3560, 0.6768, 0.3560, 0.3502, 0.3560, 0.3560, 0.5326, 0.3560, 0.3560, 0.5326, 0.3560, 0.3560, 0.3090, 0.3560, 0.5326, 0.6894, 0.3560, 0.5196, 0.6768, 0.3502, 0.3560, 0.5196, 0.5196, 0.3560, 0.3560, 0.5326, 0.3560, 0.5326, 0.3560, 0.6768
GMM, MSL, True, f1b, 0.6431, 0.9950, 0.6431, 0.9259, 0.6431, 0.6431, 0.6431, 0.6431, 0.9950, 0.6431, 0.6431, 0.9950, 0.6431, 0.6431, 0.6431, 0.6431, 0.9950, 0.9259, 0.6431, 0.9524, 0.9259, 0.6431, 0.6431, 0.9524, 0.9524, 0.6431, 0.6431, 0.9950, 0.6431, 0.9950, 0.6431, 0.9259
IF, MSL, True, fpr, 0.9514, 0.9514, 0.9514, 0.9514, 0.9514, 0.9514, 0.9514, 0.9514, 0.9514, 0.9514, 0.9514, 0.9514, 0.9514, 0.9514, 0.9514, 0.9514, 0.9514, 0.9514, 0.9514, 0.9514, 0.9514, 0.9514, 0.9514, 0.9514, 0.9514, 0.9514, 0.9514, 0.9514, 0.9514, 0.9514, 0.9514, 0.9514
IF, MSL, True, auc, 0.7327, 0.7222, 0.7324, 0.7136, 0.7275, 0.7203, 0.7275, 0.7320, 0.7303, 0.7219, 0.7323, 0.7230, 0.7197, 0.7337, 0.7314, 0.7358, 0.7307, 0.7330, 0.7228, 0.7317, 0.7342, 0.7266, 0.7195, 0.7195, 0.7275, 0.7113, 0.7166, 0.7334, 0.7225, 0.7137, 0.7220, 0.7305
IF, MSL, True, f1b, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000
LSTM, MSL, True, fpr, 0.9536, 0.9534, 0.9512, 0.9522, 0.9519, 1.0000, 0.9516, 0.9533, 0.9519, 0.9511, 0.9512, 1.0000, 0.9499, 0.9522, 0.9508, 0.9531, 0.9535, 0.9525, 0.9515, 0.9517, 0.9518, 0.9536, 0.9524, 0.9507, 0.9518, 0.9514, 0.9514, 0.9516, 1.0000, 0.9495, 0.9536, 0.9511
LSTM, MSL, True, auc, 0.6046, 0.6181, 0.6228, 0.6195, 0.6196, 0.6033, 0.6286, 0.6092, 0.6198, 0.6146, 0.6297, 0.6297, 0.6161, 0.6305, 0.6300, 0.6203, 0.6203, 0.6207, 0.6229, 0.6209, 0.6273, 0.6259, 0.6258, 0.6257, 0.6183, 0.6221, 0.6288, 0.6196, 0.5828, 0.6238, 0.6179, 0.6187
