VAR, SMD, True, fpr, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, SMD, True, auc, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, SMD, True, f1b, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
FRO, SMD, True, fpr, 0.9889, 0.9887, 0.9888, 0.9887, 0.9886, 0.9888, 0.9889, 0.9887, 0.9886, 0.9886, 0.9886, 0.9885, 0.9889, 0.9889, 0.9886, 0.9886, 0.9888, 0.9886, 0.9886, 0.9888, 0.9888, 0.9886, 0.9887, 0.9889, 0.9889, 0.9887, 0.9891, 0.9890, 0.9886, 0.9887, 0.9888, 0.9889
FRO, SMD, True, auc, 0.7961, 0.7992, 0.7923, 0.7962, 0.7933, 0.7934, 0.7942, 0.7971, 0.7965, 0.7957, 0.7935, 0.7957, 0.7995, 0.7916, 0.7947, 0.7991, 0.7965, 0.7931, 0.7965, 0.7987, 0.7992, 0.7948, 0.7981, 0.7974, 0.7931, 0.7989, 0.7909, 0.7940, 0.8006, 0.8010, 0.7975, 0.7965
FRO, SMD, True, f1b, 0.8763, 0.9039, 0.8858, 0.8658, 0.8844, 0.9025, 0.8684, 0.8645, 0.8969, 0.9025, 0.8913, 0.8831, 0.8817, 0.9068, 0.8831, 0.9054, 0.9068, 0.8899, 0.8913, 0.8817, 0.9097, 0.8941, 0.9011, 0.8941, 0.8872, 0.8831, 0.8831, 0.8997, 0.8885, 0.8997, 0.9097, 0.9011
FRL, SMD, True, fpr, 0.9889, 0.9889, 0.9889, 0.9889, 0.9890, 0.9889, 0.9890, 0.9889, 0.9889, 0.9890, 0.9890, 0.9889, 0.9889, 0.9889, 0.9889, 0.9890, 0.9889, 0.9889, 0.9889, 0.9889, 0.9889, 0.9889, 0.9890, 0.9889, 0.9890, 0.9890, 0.9890, 0.9890, 0.9889, 0.9890, 0.9889, 0.9889
FRL, SMD, True, auc, 0.7659, 0.7658, 0.7659, 0.7661, 0.7658, 0.7657, 0.7659, 0.7661, 0.7659, 0.7657, 0.7657, 0.7660, 0.7661, 0.7657, 0.7660, 0.7658, 0.7659, 0.7660, 0.7659, 0.7657, 0.7661, 0.7660, 0.7660, 0.7661, 0.7658, 0.7660, 0.7659, 0.7659, 0.7660, 0.7657, 0.7660, 0.7661
FRL, SMD, True, f1b, 0.8872, 0.8872, 0.8872, 0.8872, 0.8872, 0.8872, 0.8872, 0.8872, 0.8872, 0.8872, 0.8872, 0.8872, 0.8872, 0.8872, 0.8872, 0.8872, 0.8872, 0.8872, 0.8872, 0.8872, 0.8872, 0.8872, 0.8872, 0.8872, 0.8872, 0.8872, 0.8872, 0.8872, 0.8872, 0.8872, 0.8872, 0.8872
FRR, SMD, True, fpr, 0.9885, 0.9885, 0.9885, 0.9885, 0.9884, 0.9884, 0.9885, 0.9884, 0.9885, 0.9885, 0.9885, 0.9885, 0.9885, 0.9885, 0.9886, 0.9884, 0.9885, 0.9885, 0.9885, 0.9885, 0.9885, 0.9885, 0.9885, 0.9885, 0.9885, 0.9885, 0.9885, 0.9885, 0.9885, 0.9885, 0.9885, 0.9885
FRR, SMD, True, auc, 0.8322, 0.8328, 0.8305, 0.8315, 0.8313, 0.8315, 0.8317, 0.8307, 0.8304, 0.8315, 0.8331, 0.8315, 0.8323, 0.8318, 0.8329, 0.8312, 0.8319, 0.8330, 0.8331, 0.8324, 0.8319, 0.8310, 0.8332, 0.8312, 0.8314, 0.8317, 0.8321, 0.8322, 0.8328, 0.8324, 0.8324, 0.8321
FRR, SMD, True, f1b, 0.8593, 0.8542, 0.8554, 0.8580, 0.8542, 0.8554, 0.8479, 0.8542, 0.8580, 0.8529, 0.8479, 0.8491, 0.8554, 0.8567, 0.8593, 0.8554, 0.8580, 0.8580, 0.8529, 0.8567, 0.8504, 0.8554, 0.8632, 0.8529, 0.8580, 0.8542, 0.8529, 0.8580, 0.8580, 0.8554, 0.8491, 0.8580
