VAR, SMAP, True, fpr, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, SMAP, True, auc, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, SMAP, True, f1b, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
FRO, SMAP, True, fpr, 0.7903, 0.7903, 0.7903, 0.7902, 0.7903, 0.7905, 0.7902, 0.7902, 0.7903, 0.7902, 0.7905, 0.7902, 0.7902, 0.7904, 0.7902, 0.7905, 0.7904, 0.7902, 0.7902, 0.7902, 0.7904, 0.7902, 0.7904, 0.7902, 0.7902, 0.7905, 0.7904, 0.7904, 0.7903, 0.7902, 0.7903, 0.7903
FRO, SMAP, True, auc, 0.5011, 0.5011, 0.5011, 0.5015, 0.5014, 0.5003, 0.5015, 0.5014, 0.5011, 0.5016, 0.5002, 0.5014, 0.5015, 0.5009, 0.5015, 0.5005, 0.5009, 0.5017, 0.5017, 0.5016, 0.5008, 0.5017, 0.5007, 0.5018, 0.5016, 0.5002, 0.5006, 0.5008, 0.5012, 0.5016, 0.5014, 0.5012
FRO, SMAP, True, f1b, 0.6922, 0.3024, 0.3024, 0.6922, 0.6922, 0.6922, 0.6922, 0.3024, 0.3024, 0.3024, 0.3024, 0.3024, 0.6922, 0.6922, 0.6922, 0.6922, 0.6922, 0.6922, 0.6922, 0.6922, 0.6922, 0.6922, 0.3024, 0.6922, 0.6922, 0.6922, 0.6922, 0.6922, 0.6922, 0.6922, 0.6922, 0.3024
FRL, SMAP, True, fpr, 0.7914, 0.7914, 0.7914, 0.7914, 0.7914, 0.7914, 0.7914, 0.7914, 0.7914, 0.7914, 0.7914, 0.7914, 0.7914, 0.7914, 0.7914, 0.7914, 0.7914, 0.7914, 0.7914, 0.7914, 0.7914, 0.7914, 0.7914, 0.7914, 0.7914, 0.7914, 0.7914, 0.7914, 0.7914, 0.7914, 0.7914, 0.7914
FRL, SMAP, True, auc, 0.4957, 0.4957, 0.4957, 0.4957, 0.4957, 0.4957, 0.4957, 0.4957, 0.4957, 0.4957, 0.4957, 0.4957, 0.4957, 0.4957, 0.4957, 0.4957, 0.4957, 0.4957, 0.4957, 0.4957, 0.4957, 0.4957, 0.4957, 0.4957, 0.4957, 0.4957, 0.4957, 0.4957, 0.4957, 0.4957, 0.4957, 0.4957
FRL, SMAP, True, f1b, 0.6922, 0.6922, 0.6922, 0.6922, 0.6922, 0.6922, 0.6922, 0.6922, 0.6922, 0.6922, 0.6922, 0.6922, 0.6922, 0.6922, 0.6922, 0.6922, 0.6922, 0.6922, 0.6922, 0.6922, 0.6922, 0.6922, 0.6922, 0.6922, 0.6922, 0.6922, 0.6922, 0.6922, 0.6922, 0.6922, 0.6922, 0.6922
FRR, SMAP, True, fpr, 0.7905, 0.7905, 0.7903, 0.7904, 0.7903, 0.7904, 0.7903, 0.7904, 0.7904, 0.7904, 0.7904, 0.7905, 0.7905, 0.7902, 0.7903, 0.7903, 0.7905, 0.7904, 0.7904, 0.7903, 0.7904, 0.7904, 0.7903, 0.7904, 0.7905, 0.7904, 0.7904, 0.7904, 0.7904, 0.7904, 0.7905, 0.7905
FRR, SMAP, True, auc, 0.5005, 0.5001, 0.5010, 0.5009, 0.5014, 0.5009, 0.5012, 0.5006, 0.5007, 0.5009, 0.5009, 0.5005, 0.5001, 0.5015, 0.5010, 0.5010, 0.5003, 0.5007, 0.5008, 0.5010, 0.5009, 0.5007, 0.5011, 0.5009, 0.5002, 0.5009, 0.5008, 0.5007, 0.5008, 0.5008, 0.5005, 0.5003
FRR, SMAP, True, f1b, 0.6922, 0.6922, 0.6922, 0.6922, 0.6922, 0.6922, 0.6922, 0.6922, 0.6922, 0.6922, 0.6922, 0.6922, 0.6922, 0.6922, 0.6922, 0.6922, 0.6922, 0.6922, 0.6922, 0.6922, 0.6922, 0.6922, 0.6922, 0.6922, 0.6922, 0.6922, 0.6922, 0.6922, 0.6922, 0.6922, 0.6922, 0.6922
OCSVM, SMAP, True, fpr, 0.7914, 0.7914, 0.7914, 0.7914, 0.7914, 0.7914, 0.7914, 0.7914, 0.7914, 0.7914, 0.7914, 0.7914, 0.7914, 0.7914, 0.7914, 0.7914, 0.7914, 0.7914, 0.7914, 0.7914, 0.7914, 0.7914, 0.7914, 0.7914, 0.7914, 0.7914, 0.7914, 0.7914, 0.7914, 0.7914, 0.7914, 0.7914
OCSVM, SMAP, True, auc, 0.4934, 0.4934, 0.4934, 0.4934, 0.4934, 0.4934, 0.4934, 0.4934, 0.4934, 0.4934, 0.4934, 0.4934, 0.4934, 0.4934, 0.4934, 0.4934, 0.4934, 0.4934, 0.4934, 0.4934, 0.4934, 0.4934, 0.4934, 0.4934, 0.4934, 0.4934, 0.4934, 0.4934, 0.4934, 0.4934, 0.4934, 0.4934
