VAR, SMAP, True, fpr, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, SMAP, True, auc, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
VAR, SMAP, True, f1b, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
FRO, SMAP, True, fpr, 0.9311, 0.9314, 0.9311, 0.9311, 0.9311, 0.9317, 0.9313, 0.9311, 0.9311, 0.9311, 0.9317, 0.9314, 0.9311, 0.9313, 0.9311, 0.9311, 0.9311, 0.9311, 0.9317, 0.9311, 0.9311, 0.9311, 0.9310, 0.9311, 0.9311, 0.9311, 0.9311, 0.9311, 0.9311, 0.9311, 0.9316, 0.9311
FRO, SMAP, True, auc, 0.5243, 0.5262, 0.5245, 0.5243, 0.5243, 0.5227, 0.5226, 0.5243, 0.5243, 0.5229, 0.5239, 0.5245, 0.5243, 0.5224, 0.5243, 0.5243, 0.5243, 0.5243, 0.5227, 0.5243, 0.5242, 0.5229, 0.5199, 0.5243, 0.5243, 0.5243, 0.5244, 0.5243, 0.5243, 0.5243, 0.5244, 0.5243
FRO, SMAP, True, f1b, 0.1278, 0.6197, 0.9550, 0.6197, 0.6197, 0.1278, 0.1278, 0.6197, 0.1278, 0.6197, 0.9550, 0.9550, 0.6197, 0.6197, 0.6197, 0.6197, 0.6197, 0.1278, 0.6197, 0.1278, 0.6197, 0.1278, 0.6197, 0.1278, 0.1278, 0.6197, 0.9550, 0.6197, 0.6197, 0.6197, 0.1278, 0.6197
FRL, SMAP, True, fpr, 0.9293, 0.9293, 0.9293, 0.9293, 0.9293, 0.9293, 0.9293, 0.9293, 0.9293, 0.9293, 0.9293, 0.9293, 0.9293, 0.9293, 0.9293, 0.9293, 0.9293, 0.9293, 0.9293, 0.9293, 0.9293, 0.9293, 0.9293, 0.9293, 0.9293, 0.9293, 0.9293, 0.9293, 0.9293, 0.9293, 0.9293, 0.9293
FRL, SMAP, True, auc, 0.4767, 0.4767, 0.4767, 0.4767, 0.4767, 0.4767, 0.4767, 0.4767, 0.4767, 0.4767, 0.4767, 0.4767, 0.4767, 0.4767, 0.4767, 0.4767, 0.4767, 0.4767, 0.4767, 0.4767, 0.4767, 0.4767, 0.4767, 0.4767, 0.4767, 0.4767, 0.4767, 0.4767, 0.4767, 0.4767, 0.4767, 0.4767
FRL, SMAP, True, f1b, 0.6197, 0.6197, 0.6197, 0.6197, 0.6197, 0.6197, 0.6197, 0.6197, 0.6197, 0.6197, 0.6197, 0.6197, 0.6197, 0.6197, 0.6197, 0.6197, 0.6197, 0.6197, 0.6197, 0.6197, 0.6197, 0.6197, 0.6197, 0.6197, 0.6197, 0.6197, 0.6197, 0.6197, 0.6197, 0.6197, 0.6197, 0.6197
FRR, SMAP, True, fpr, 0.9316, 0.9316, 0.9316, 0.9316, 0.9316, 0.9316, 0.9316, 0.9316, 0.9316, 0.9316, 0.9316, 0.9316, 0.9316, 0.9316, 0.9316, 0.9316, 0.9316, 0.9316, 0.9316, 0.9316, 0.9316, 0.9316, 0.9316, 0.9316, 0.9316, 0.9316, 0.9316, 0.9316, 0.9316, 0.9316, 0.9316, 0.9316
FRR, SMAP, True, auc, 0.5238, 0.5238, 0.5238, 0.5239, 0.5238, 0.5238, 0.5239, 0.5239, 0.5238, 0.5238, 0.5238, 0.5238, 0.5238, 0.5238, 0.5238, 0.5238, 0.5238, 0.5238, 0.5238, 0.5238, 0.5238, 0.5238, 0.5238, 0.5238, 0.5238, 0.5238, 0.5238, 0.5238, 0.5238, 0.5239, 0.5238, 0.5238
FRR, SMAP, True, f1b, 0.6197, 0.6197, 0.6197, 0.6197, 0.6197, 0.6197, 0.6197, 0.6197, 0.6197, 0.6197, 0.6197, 0.6197, 0.6197, 0.6197, 0.6197, 0.6197, 0.6197, 0.6197, 0.6197, 0.6197, 0.6197, 0.6197, 0.6197, 0.6197, 0.6197, 0.6197, 0.6197, 0.6197, 0.6197, 0.6197, 0.6197, 0.6197
OCSVM, SMAP, True, fpr, 0.9293, 0.9293, 0.9293, 0.9293, 0.9293, 0.9293, 0.9293, 0.9293, 0.9293, 0.9293, 0.9293, 0.9293, 0.9293, 0.9293, 0.9293, 0.9293, 0.9293, 0.9293, 0.9293, 0.9293, 0.9293, 0.9293, 0.9293, 0.9293, 0.9293, 0.9293, 0.9293, 0.9293, 0.9293, 0.9293, 0.9293, 0.9293
OCSVM, SMAP, True, auc, 0.4684, 0.4684, 0.4684, 0.4684, 0.4684, 0.4684, 0.4684, 0.4684, 0.4684, 0.4684, 0.4684, 0.4684, 0.4684, 0.4684, 0.4684, 0.4684, 0.4684, 0.4684, 0.4684, 0.4684, 0.4684, 0.4684, 0.4684, 0.4684, 0.4684, 0.4684, 0.4684, 0.4684, 0.4684, 0.4684, 0.4684, 0.4684
